num_res,num_rot,gs_energy,gs_bitstring
4,11,-33.01171652786434,00000001000001000000000000100000000000000001
4,12,-33.18086216971278,000000010000001000000000000010000000000000000010
4,13,-32.88410361856222,0000000100000001000000000000001000000000000000000100
4,14,-32.796281807124615,00000001000000001000000000000000100000000000000001000000
4,15,-33.43674037232995,000000010000000001000000000000000010000000000000001000000000
4,16,-31.88578052446246,0000000100000000001000000000000000001000000000000010000000000000
4,17,-28.530297555029392,00000001000000000000100000000000000000000000000000110000000000000000
4,18,-32.578673569485545,000000010000000000000100000000000000000000000000001000100000000000000000
4,19,-29.467370184138417,0000000100000000000000100000000000000000000000000010000001000000000000000000
4,20,-35.76616338454187,00000001000000000000000100000000000000000000000000100000000010000000000000000000
4,21,-31.9560950640589,000000010000000000000000100000000000000000000000001000000000000100000000000000000000
4,22,-28.178480001166463,0000000100000000000000000100000000000000000000000010000000000000001000000000000000000000
4,23,-243.84844610095024,00000001000000000000000000100000000000000000000000100000000000000000010000000000000000000000
4,24,-232.98214312270284,000000010000000000000000000100000000000000000000001000000000000000000000100000000000000000000000
4,25,-226.788786130026,0000000100000000000000000000100000000000000000000010000000000000000000000001000000000000000000000000
5,2,-3.17943874001503,0101100110
5,3,-25.632219582796097,010010100001001
5,4,-41.59553128480911,01000010000100100001
5,5,-56.03688323218376,0100000100000010010000010
5,6,-75.36597106279805,000001001000000010001000000100
5,7,-92.58937311638148,00000100010000000010000100000000001
5,8,-104.42886861832812,0000000100100000000010000010000000000001
5,9,-123.93904180312528,000000010001000000000010000001000000000000010
5,10,-142.05236631073058,00000001000010000000000010000000100000000000000100
5,11,-160.19676979305223,0000000100000100000000000010000000010000000000000010000
5,12,-181.4806496212259,000000010000001000000000000010000000001000000000001000000000
5,13,-197.37245554290712,00000001000000000000000001000010000000000100000000001000000000000
5,14,-215.5492069348693,0000000100000000000000000010000010000000000010000000000010000000000000
5,15,-258.59473508177325,000000010000000000000000000100000010000000000001000000000000100000000000000
5,16,-291.3454993404448,00000001000000000000000000001000000010000000000000100000000000001000000000000000
5,17,-339.72362719429657,0000000100000000000000000000010000000000000000000011000000000000000010000000000000000
5,18,-381.0107099195011,000000010000000000000000000000100000000000000000001000100000000000000000100000000000000000
5,19,-426.5493043088354,00000001000000000000000000000001000000000000000000100000010000000000000000001000000000000000000
5,20,-474.3889966858551,0000000100000000000000000000000010000000000000000010000000001000000000000000000010000000000000000000
6,2,-5.857497677206993,011010011010
6,3,-28.79571735113859,010100100010001100
6,4,-59.2769879847765,010010001000010000101000
6,5,-96.9921099320054,010001000010000010000010010000
6,6,-145.2143705077469,000001001000010000000001000100100000
6,7,-176.26580385118723,000001010000001000000000001000100001000000
6,8,-211.2191622853279,000000011000000010000000000001000010000010000000
6,9,-271.7181800920516,000000010001000000010000000000001000000100000000001000
6,10,-292.72443283721805,000000010010000000001000000000000001000000100000001000000000
6,11,-323.0812555309385,000000010001000000000010000000000000001000000000001000010000000000
6,12,-376.9763529675547,000000010000100000000000100000000000000001000000001000000000100000000000
6,13,-433.9296307247132,000000010000010000000000001000000000000000001000000010000000000001000000000000
6,14,-515.9786536020692,000000010000001000000000000010000000000000000001000000001000000000000010000000000000
6,15,-624.4436930431984,000000010000000100000000000000100000000000000010000000000000100000000000000100000000000000
6,16,-690.7715504597872,000000010000000010000000000000001000000000000000010000000000000010000000000000001000000000000000
7,2,-5.554185301065445,01101001101010
7,3,-38.21292766183615,010001010010100100100
7,4,-66.54952100664377,0100001001000100000110001000
7,5,-109.15383614599703,01000001000100001000000101000000001
7,6,-189.1870613619685,000001001000010000000001000100100000000010
7,7,-244.42450068891048,0000010001000001000000000010000100010000000000100
7,8,-225.92657064832747,00000001100000000010000000000100001000001000000000100000
7,9,-270.58869760110974,000000010100000000001000000000001000001000000000001000100000000
7,10,-345.74529930762947,0000000100001000000001000000000000010000000100000010000000001000000000
7,11,-405.7226351965219,00000001000001000000000100000000000000100000000000100001000000000010000000000
7,12,-467.5427892617881,000000010000100000000000001000000000000001000000001000000000100000000000100000000000
7,13,-577.1563553418964,0000000100000000000000000101000000000000000010000000100000000000010000000000001000000000000
7,14,-736.8695707917213,00000001000000100000000000000010000000000000000100000000100000000000001000000000000010000000000000
8,2,-3.792556531727314,1001011001101010
8,3,-30.58313428610564,100010010100001100010100
8,4,-68.26824312284589,00010001010010000010100001001000
8,5,-108.30105293542148,0001000010010000000101000000010010010000
8,6,-148.1148628364317,000001000100010000000010000001000100001000000001
8,7,-199.6786099337041,00000100001000000000100001000000010000010000100000100000
8,8,-246.9961034390144,0000010000000001000000100000100000000100010000000010000010000000
8,9,-302.49769576312974,000001000000000001000000100000010000000001000000001000100000000100000000
8,10,-371.0562325413339,00000100000000000010000000100000001000000000010000100000000010000000001000000000
9,2,-4.604846149682999,011010101001100110
9,3,-29.547375470399857,001100100100001010100001100
9,4,-57.15322810970247,001010001000000100100001100000010001
9,5,-78.6948749050498,001001000010000000100010000010000010001000010
9,6,-98.31195431668311,010000000001000001000100001000000100000010000100001000
9,7,-120.24828719161452,001000000000100000010000100000100000001000000010001000001000000
9,8,-403.7302442090586,010000000000010000000100000100000010000000010000001000001000000010000000
10,2,-9.757993001490831,01101001010101100101
10,3,-45.02236979827285,001100100010010010001100010010
10,4,-95.63097138889134,0010100010000100010001000001100001000100
10,5,-574.5483158938587,00100000011000001000010000100000001000010100001000
10,6,-727.570002976805,001000000010000001010000010000010000000010000010010000100000
10,7,-889.7503591887653,0010000000010000000100100000010000001000001000000010000010000001000000
